,term_id,term_rank,term_str,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,term_rank2,p,zipf_k,zipf_k2,zipf_k3,df,idf,tfidf_sum
3759,12009,3760,straits,5,0,0,strait,strait,straits,JJ,357,0.0003528581510232,18800,1785,0.125970359915314,1,0.47712125471966244,0.002467909571102053
12409,9103,12410,phenomenally,1,0,0,phenomen,phenomen,phenom,NN,361,7.057163020465773e-05,12410,361,0.0254763585038814,2,0.17609125905568124,0.0009185364020104719
8407,13420,8408,varied,1,0,0,vari,vari,vary,RB,361,7.057163020465773e-05,8408,361,0.0254763585038814,2,0.17609125905568124,0.0006402953051370648
3742,11304,3743,sincerity,5,0,0,sincer,sincer,sint,VBP,357,0.0003528581510232,18715,1785,0.125970359915314,2,0.17609125905568124,0.00058054584479034
7597,14001,7598,wonderin,2,0,0,wonderin,wonderin,wonderin,NNS,360,0.0001411432604093,15196,720,0.0508115737473535,1,0.47712125471966244,0.00042992560566608185
5388,8972,5389,peculiarly,3,0,0,peculiarli,peculiar,peculi,NN,359,0.0002117148906139,16167,1077,0.0760056457304163,2,0.17609125905568124,0.0004030976332889613
9378,12907,9379,transference,1,0,0,transfer,transfer,transf,NN,361,7.057163020465773e-05,9379,361,0.0254763585038814,1,0.47712125471966244,0.00030923204264411263
13829,1481,13830,boulder,1,0,0,boulder,boulder,bould,NN,361,7.057163020465773e-05,13830,361,0.0254763585038814,1,0.47712125471966244,0.0002974174079912407
3132,4278,3133,entitled,7,0,0,entitl,entitl,entitl,NN,355,0.0004940014114326,21931,2485,0.1753705010585744,1,0.47712125471966244,0.00027718887733734225
13550,6625,13551,intelligible,1,0,0,intellig,intellig,intellig,NN,361,7.057163020465773e-05,13551,361,0.0254763585038814,1,0.47712125471966244,0.0002602181297452601
5126,6005,5127,hides,3,0,0,hide,hide,hid,NNS,359,0.0002117148906139,15381,1077,0.0760056457304163,1,0.47712125471966244,0.0002602181297452601
8777,11941,8778,stiffly,1,0,0,stiffli,stiffli,stiff,NN,361,7.057163020465773e-05,8778,361,0.0254763585038814,1,0.47712125471966244,0.00023787080203393284
1008,5721,1009,habit,30,0,0,habit,habit,habit,NN,332,0.0021171489061397,30270,9960,0.702893436838391,1,0.47712125471966244,0.000186678223512904
2451,10138,2452,regret,9,0,0,regret,regret,regret,NN,353,0.0006351446718419,22068,3177,0.2242060691601976,1,0.47712125471966244,0.000186678223512904
11323,3406,11324,despised,1,0,0,despis,despis,desp,NNS,361,7.057163020465773e-05,11324,361,0.0254763585038814,1,0.47712125471966244,0.00016056279137290465
5109,1681,5110,bulky,3,0,0,bulki,bulki,bulky,NN,359,0.0002117148906139,15330,1077,0.0760056457304163,1,0.47712125471966244,0.00015839364419276703
1925,13445,1926,velvet,13,0,0,velvet,velvet,velvet,NN,349,0.0009174311926605,25038,4537,0.3201834862385321,1,0.47712125471966244,0.00014263896097539092
1975,10325,1976,resolution,13,0,0,resolut,resolut,resolv,NNS,349,0.0009174311926605,25688,4537,0.3201834862385321,1,0.47712125471966244,0.00013576598073665743
12580,8763,12581,padding,1,0,0,pad,pad,pad,NN,361,7.057163020465773e-05,12581,361,0.0254763585038814,1,0.47712125471966244,0.00012445214900860265
7595,3157,7596,daze,2,0,0,daze,daze,daz,NN,360,0.0001411432604093,15192,720,0.0508115737473535,2,0.17609125905568124,0.00011921851503415764
2329,11111,2330,shelter,10,0,0,shelter,shelter,shelt,NN,352,0.0007057163020465,23300,3520,0.2484121383203952,1,0.47712125471966244,0.00011893540101696642
3477,816,3478,assistant,6,0,0,assist,assist,assist,VBP,356,0.0004234297812279,20868,2136,0.1507410021171489,1,0.47712125471966244,0.00011893540101696642
7526,2707,7527,contradict,2,0,0,contradict,contradict,contradict,NN,360,0.0001411432604093,15054,720,0.0508115737473535,1,0.47712125471966244,0.00011879523314457525
1063,11612,1064,sorrow,29,0,0,sorrow,sorrow,sorrow,NNS,333,0.002046577275935,30856,9657,0.6815102328863797,1,0.47712125471966244,0.00011313831728054786
13991,7513,13992,machination,1,0,0,machin,machin,machin,NNS,361,7.057163020465773e-05,13992,361,0.0254763585038814,1,0.47712125471966244,0.00010925537436412922
10836,6215,10837,hurling,1,0,0,hurl,hurl,hurl,NN,361,7.057163020465773e-05,10837,361,0.0254763585038814,1,0.47712125471966244,0.00010748140141652046
2038,5688,2039,guide,12,0,0,guid,guid,guid,NN,350,0.0008468595624558,24468,4200,0.2964008468595625,1,0.47712125471966244,0.00010748140141652046
12100,4103,12101,elude,1,0,0,elud,elud,elud,NN,361,7.057163020465773e-05,12101,361,0.0254763585038814,1,0.47712125471966244,0.00010704186091526976
8497,13585,8498,voluminous,1,0,0,volumin,volumin,volumin,NN,361,7.057163020465773e-05,8498,361,0.0254763585038814,2,0.17609125905568124,0.0001056541361121251
2427,10363,2428,restored,10,0,0,restor,restor,rest,NN,352,0.0007057163020465,24280,3520,0.2484121383203952,1,0.47712125471966244,0.00010318563134389983
3906,2335,3907,clumsy,5,0,0,clumsi,clumsi,clumsy,NN,357,0.0003528581510232,19535,1785,0.125970359915314,2,0.17609125905568124,9.865793840926262e-05
11069,5615,11070,grievously,1,0,0,grievous,grievous,griev,JJ,361,7.057163020465773e-05,11070,361,0.0254763585038814,1,0.47712125471966244,9.514832081357313e-05
5607,9484,5608,prejudice,3,0,0,prejudic,prejudic,prejud,VBD,359,0.0002117148906139,16824,1077,0.0760056457304163,2,0.17609125905568124,9.093891035932315e-05
7115,286,7116,adventures,2,0,0,adventur,adventur,adv,NN,360,0.0001411432604093,14232,720,0.0508115737473535,1,0.47712125471966244,9.051065382443829e-05
4441,3736,4442,dominate,4,0,0,domin,domin,domin,VBD,358,0.0002822865208186,17768,1432,0.1010585744530698,2,0.17609125905568124,8.586545751396845e-05
13409,7311,13410,lingering,1,0,0,linger,linger,ling,NN,361,7.057163020465773e-05,13410,361,0.0254763585038814,1,0.47712125471966244,8.194153077309692e-05
12237,9008,12238,per,1,0,0,per,per,per,NN,361,7.057163020465773e-05,12238,361,0.0254763585038814,1,0.47712125471966244,8.194153077309692e-05
13989,7573,13990,malabar,1,0,0,malabar,malabar,malab,NN,361,7.057163020465773e-05,13990,361,0.0254763585038814,1,0.47712125471966244,8.194153077309692e-05
5797,10182,5798,relieve,3,0,0,reliev,reliev,reliev,NN,359,0.0002117148906139,17394,1077,0.0760056457304163,1,0.47712125471966244,8.194153077309692e-05
12860,10223,12861,removals,1,0,0,remov,remov,remov,IN,361,7.057163020465773e-05,12861,361,0.0254763585038814,2,0.17609125905568124,7.987425959049376e-05
9960,10876,9961,scrupulous,1,0,0,scrupul,scrupul,scrupulous,VBP,361,7.057163020465773e-05,9961,361,0.0254763585038814,2,0.17609125905568124,7.88257427195311e-05
7154,2489,7155,compels,2,0,0,compel,compel,compel,VBZ,360,0.0001411432604093,14310,720,0.0508115737473535,2,0.17609125905568124,7.756950495107354e-05
1759,12048,1760,stretched,15,0,0,stretch,stretch,stretched,MD,347,0.0010585744530698,26400,5205,0.3673253352152434,2,0.17609125905568124,7.632612847859743e-05
1502,12100,1503,studio,18,0,0,studio,studio,studio,NNS,344,0.0012702893436838,27054,6192,0.4369795342272407,2,0.17609125905568124,7.591431356962588e-05
8015,5961,8016,herbert,2,0,0,herbert,herbert,herbert,NNS,360,0.0001411432604093,16032,720,0.0508115737473535,2,0.17609125905568124,7.4894694180777e-05
